x,y,z,color
0.46998626,-0.11255582,0.27670211,red
0.11412874,-0.01515782,0.77401584,white
-0.08074698,-0.00071792,-0.99913496,black
0.23943377,0.00142866,0.29796049,red
-0.24372825,-0.22346832,-0.23,white
-0.1339508,-0.1513641,-0.5681026,black
0.02363882,0.03011853,-0.44595104,red
0.52584136,-0.1633313,0.12160143,white
0.08085185,0.2265894,0.08834561,orange
0.13177536,-0.02475182,-0.05,red
0.26228008,0.00275752,0.2689018,red
0.14010778,0.13191815,-0.8638922,black
-0.02415881,-0.0726202,-0.66893685,black
0.20427382,-0.19949064,0.6131832,white
-0.23536327,0.25869644,-0.97237581,black
-0.43608531,-0.2100962,0.22038221,red
0.04156634,0.1149459,0.49770057,red
-0.0729912,0.06551901,-0.78267348,black
0.21708329,0.12806542,0.21556833,red
0.07927333,-0.13680454,-0.56930381,black
0.25068831,-0.03859304,-0.54703295,red
-0.57998496,-0.0337351,0.23972423,red
-0.09225232,0.06071196,0.87095284,white
-0.1250401,0.16873954,0.54407412,white
0.05945596,-0.13957562,0.67360634,white
0.05294586,0.22528526,0.11563262,orange
-0.06151932,0.08116458,0.8283447,white
0.38437477,-0.20120114,0.39995009,red
-0.24366263,0.10513083,-0.20439538,red
-0.16009668,0.2001408,0.52083278,white
-0.24011268,0.03929733,0.60179436,red
-0.14942823,0.13557841,0.61135823,white
0.16899495,-0.04558586,-0.9986158,black
-0.01063751,0.10938025,0.50671786,red
0.22240523,0.0585065,-0.77814239,black
-0.02523858,0.19070254,0.62505406,white
0.03806346,0.16608073,0.5864805,white
-0.06939004,0.06492953,-0.67439276,black
-0.02750659,0.19041194,-0.19795141,white
-0.51540732,-0.04099179,0.06780123,white
0.26044509,0.00541301,0.32634941,red
-0.02780132,-0.01091549,0.8114683,white
0.06567909,0.18001504,0.16566737,orange
-0.11004855,0.10518125,0.66302496,white
0.02191802,-0.06993061,0.67587423,white
-0.00499265,-0.05203918,-0.16305393,red
-0.15514795,0.24186935,-0.88405001,black
0.09475355,-0.00716512,0.58968711,white
0.50690317,-0.20621327,0.15408468,red
-0.29889822,-0.11052748,0.62113196,red
-0.20188613,0.07700168,0.42995223,red
0.25701994,-0.21241172,0.39224997,red
-0.04392362,0.20520245,0.00983747,red
-0.23995012,-0.03282418,-0.79755342,black
-0.00872287,0.25100538,-0.09259108,white
0.25083065,-0.02352685,-0.56167275,black
0.08592284,-0.10651574,1.02857375,red
-0.19356318,-0.08909871,-0.92094034,black
-0.14321439,-0.27987507,0.15164006,orange
0.008017,-0.15190147,0.66678375,white
0.24934134,-0.03746503,-0.5883863,red
-0.15791161,0.36205858,-0.99132109,black
-0.24501128,-0.10208488,-0.65742105,black
0.44232777,-0.10081502,0.21963973,red
0.25590163,-0.22839838,0.41899827,red
0.17922248,0.09921543,-0.08003622,red
0.30944368,0.02170824,-0.18638751,red
0.30594683,-0.22202472,-0.12066371,white
-0.27780175,-0.17061399,0.20795847,red
0.21409743,0.07425683,0.30905288,red
-0.07133342,0.11761469,-0.6470862,black
0.04627425,0.05506985,-0.56030041,black
-0.02824814,-0.10527987,0.86681706,white
-0.06918371,0.07101284,0.69608182,white
0.08531914,-0.05249339,0.76486582,white
0.06377694,0.07921082,0.69242358,white
-0.64734161,-0.07367478,0.26578462,white
0.22766301,0.2784014,-0.99608237,black
0.0789489,-0.15623549,-0.36937597,red
-0.00641615,-0.29101962,0.8084299,white
0.20335217,-0.18663999,0.6495043,white
-0.03074873,0.13954608,0.51775211,white
0.05367678,0.12690553,0.66357636,white
-0.30615509,-0.00178061,0.32089102,red
0.21948107,-0.32186353,-0.13381854,white
-0.15436417,0.08417118,0.64170855,white
0.57542443,-0.05451901,0.13901819,white
-0.20424253,0.09699533,0.59433949,white
0.44861531,-0.10600403,0.40993854,red
-0.00089088,0.1516137,0.72267795,white
0.30877346,-0.06618533,0.22879839,red
0.16018422,-0.13442643,-0.57107383,black
0.10907702,-0.27255493,-0.1350311,red
-0.0898513,0.22095928,0.11633075,orange
0.18299602,0.06545801,0.41777873,white
-0.03148299,0.12789717,-0.07674821,red
-0.26828024,-0.0924803,-0.36502874,red
-0.02786363,0.09829543,-0.27555093,red
-0.45436579,-0.19187158,0.3412292,red
-0.03386588,-0.29400441,0.0662763,red
-0.27252945,-0.04841587,0.26881489,red
-0.63324255,-0.17762944,0.15410891,white
-0.105056,-0.28688842,0.168974,orange
-0.00017489,0.14196117,-0.14728346,red
-0.16721486,-0.22522709,0.57761174,red
0.25042593,-0.09624246,-0.67574823,black
-0.07779273,0.17244613,0.18821189,red
0.06361395,-0.14806849,0.65656352,white
-0.22313783,0.01363036,-0.66216934,black
0.0747131,0.11372064,0.65529686,white
0.3341502,0.03227417,-0.08503333,white
-0.54682672,-0.03045001,0.08379483,white
-0.00686033,0.19874667,-0.05915103,red
0.19508561,0.06820109,0.59260446,white
-0.05045399,-0.27168253,0.50937915,white
-0.10069602,-0.27794933,0.57890552,white
0.27726823,-0.19265576,0.05190513,red
0.34924099,-0.0027002,0.51074272,red
-0.66920882,-0.17256899,0.14447832,white
-0.62500358,-0.05723438,0.17324458,white
0.02556254,0.27256408,0.48832661,white
0.06876348,0.14535098,-0.99107099,black
0.00452513,-0.2514199,0.60002893,red
-0.19575538,0.06262006,0.61975616,white
0.37476596,-0.0439039,0.24396744,red
0.22409791,0.05559561,0.65378946,white
0.27740929,0.00269593,-0.53760701,black
0.23976275,-0.18208763,0.25378031,red
0.33899456,-0.18662754,0.48412743,red
-0.2496613,-0.18068717,0.33811757,red
